id,title,year,journal,abstract,keywords
P1000,通用设计视角下的可持续评估方法,城市规划学刊,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,通用设计; 服务设计; 可持续
P1001,服务设计视角下的康复评估方法,2015,International Journal of Inclusive Design,文章讨论了政策与实践之间的差距，并提出了关于无障碍的若干建议。,社区参与; 建筑设计; 康复; 服务设计; 无障碍
P1002,问卷调查的设计方法与应用——以政策评估为例,2013,Accessibility Research,本文基于政策评估数据，提出了一种用于问卷调查的分析框架，验证了方法的有效性。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了政策评估与政策评估之间的内在关系。 实验结果表明，该方法在提高问卷调查可达性方面具有显著作用，适用于中小城市推广应用。,无障碍旅游; 问卷调查; 政策评估; 公共空间; 残疾人
P1003,深度学习与深度学习的协同发展研究,2023,环境与可持续发展,文章讨论了政策与实践之间的差距，并提出了关于辅助技术的若干建议。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了辅助技术与语义分割之间的内在关系。,语义分割; 辅助技术; 深度学习
P1004,辅具: 面向辅具的实证分析,2016,城市规划学刊,本文基于可持续数据，提出了一种用于可持续的分析框架，验证了方法的有效性。 文章讨论了政策与实践之间的差距，并提出了关于辅具的若干建议。 研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了法律法规与可持续之间的内在关系。,可持续; 辅具; 法律法规
P1005,老龄化的设计方法与应用——以辅具为例,2021,Smart Cities Review,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 本文基于辅具数据，提出了一种用于老龄化的分析框架，验证了方法的有效性。 实验结果表明，该方法在提高老龄化可达性方面具有显著作用，适用于中小城市推广应用。,辅具; 无障碍; 老龄化; 服务设计
P1006,通用设计视角下的老龄化评估方法,2017,中国残疾人研究,实验结果表明，该方法在提高问卷调查可达性方面具有显著作用，适用于中小城市推广应用。 文章讨论了政策与实践之间的差距，并提出了关于空间布局的若干建议。 研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。,通用设计; 老龄化; 问卷调查; 空间布局
P1007,可持续与公共空间的协同发展研究,,2019,交通运输工程学报,研究对样本城市进行了案例分析，并在不同年份进行了对比，指出了未来研究方向。 文章讨论了政策与实践之间的差距，并提出了关于公共空间的若干建议。 本文基于公共空间数据，提出了一种用于建筑设计的分析框架，验证了方法的有效性。,可持续; 建筑设计; 公共空间
P1008,法律法规与法律法规的协同发展研究,2024,Accessibility Research,文章讨论了政策与实践之间的差距，并提出了关于政策评估的若干建议。,社区参与; 政策评估; 步行环境; 法律法规
P1009,交通规划视角下的交通规划评估方法,2024,交通运输工程学报,实验结果表明，该方法在提高交通规划可达性方面具有显著作用，适用于中小城市推广应用。,步行环境; 城市规划; 无障碍; 交通规划; 可持续
P1010,行动不便: 面向城市规划的实证分析,2015,建筑学报,研究采用问卷调查、现场观测与统计建模相结合的方法，揭示了行动不便与城市规划之间的内在关系。 本文基于行动不便数据，提出了一种用于城市规划的分析框架，验证了方法的有效性。 实验结果表明，该方法在提高无障碍教育可达性方面具有显著作用，适用于中小城市推广应用。,城市规划; 无障碍教育; 行动不便
